organism,genome,symbol,gene_id,gene_number,chr,start,end,strand
Mus musculus,mm10,0610009B22Rik,ENSMUSG00000007777.9,1,chr11,51685386,51688874,-
Mus musculus,mm10,0610010F05Rik,ENSMUSG00000042208.15,2,chr11,23564961,23633639,-
Mus musculus,mm10,0610010K14Rik,ENSMUSG00000020831.18,3,chr11,70235206,70237914,-
Mus musculus,mm10,0610012G03Rik,ENSMUSG00000107002.1,4,chr16,31947050,31948494,-
Mus musculus,mm10,0610030E20Rik,ENSMUSG00000058706.5,5,chr6,72347317,72353148,+
Mus musculus,mm10,0610040J01Rik,ENSMUSG00000060512.7,6,chr5,63812363,63899625,+
Mus musculus,mm10,1110002E22Rik,ENSMUSG00000090066.2,7,chr3,138065052,138081506,+
Mus musculus,mm10,1110004F10Rik,ENSMUSG00000030663.12,8,chr7,116039397,116105210,+
Mus musculus,mm10,1110008P14Rik,ENSMUSG00000039195.4,9,chr2,32377097,32381938,-
Mus musculus,mm10,1110012L19Rik,ENSMUSG00000045237.5,10,chrX,70385877,70389417,+
Mus musculus,mm10,1110017D15Rik,ENSMUSG00000028441.12,11,chr4,41505009,41517333,-
Mus musculus,mm10,1110025L11Rik,ENSMUSG00000068073.2,12,chr16,89063412,89064002,-
Mus musculus,mm10,1110032A03Rik,ENSMUSG00000037971.10,13,chr9,50762828,50775520,-
Mus musculus,mm10,1110032F04Rik,ENSMUSG00000046999.2,14,chr3,68869586,68872163,+
Mus musculus,mm10,1110038F14Rik,ENSMUSG00000063236.6,15,chr15,76948506,76950979,+
Mus musculus,mm10,1110051M20Rik,ENSMUSG00000040591.18,16,chr2,91275068,91444704,-
Mus musculus,mm10,1110057P08Rik,ENSMUSG00000068067.2,17,chr16,89174735,89175199,+
Mus musculus,mm10,1110059E24Rik,ENSMUSG00000035171.9,18,chr19,21581202,21652976,-
Mus musculus,mm10,1110059G10Rik,ENSMUSG00000032551.7,19,chr9,122945089,122951000,-
Mus musculus,mm10,1110065P20Rik,ENSMUSG00000078570.10,20,chr4,124849080,124851196,-
Mus musculus,mm10,1190005I06Rik,ENSMUSG00000043687.15,21,chr8,120608602,120647632,-
Mus musculus,mm10,1190007I07Rik,ENSMUSG00000063320.11,22,chr10,82619851,82623228,-
Mus musculus,mm10,1300017J02Rik,ENSMUSG00000033688.10,23,chr9,103250521,103305082,-
Mus musculus,mm10,1500009C09Rik,ENSMUSG00000068099.5,24,chr15,82252397,82260753,+
Mus musculus,mm10,1500009L16Rik,ENSMUSG00000087651.3,25,chr10,83722865,83762762,+
Mus musculus,mm10,1500011B03Rik,ENSMUSG00000072694.8,26,chr5,114808196,114823468,-
Mus musculus,mm10,1520401A03Rik,ENSMUSG00000043747.12,27,chr17,23704488,23722783,-
Mus musculus,mm10,1600012H06Rik,ENSMUSG00000050088.9,28,chr17,14943184,14959570,+
Mus musculus,mm10,1600014C10Rik,ENSMUSG00000054676.15,29,chr7,38183217,38197568,+
Mus musculus,mm10,1600014C23Rik,ENSMUSG00000094690.2,30,chr17,45732864,45733844,-
Mus musculus,mm10,1700001C19Rik,ENSMUSG00000047150.8,31,chr17,47412734,47437376,-
Mus musculus,mm10,1700001F09Rik,ENSMUSG00000095384.1,32,chr14,43342383,43347811,-
Mus musculus,mm10,1700001J03Rik,ENSMUSG00000095040.2,33,chr5,146182441,146185304,-
Mus musculus,mm10,1700001K19Rik,ENSMUSG00000056508.6,34,chr12,110667688,110682619,-
Mus musculus,mm10,1700001L19Rik,ENSMUSG00000021534.8,35,chr13,68597421,68614231,+
Mus musculus,mm10,1700001O22Rik,ENSMUSG00000044320.14,36,chr2,30794769,30803661,-
Mus musculus,mm10,1700001P01Rik,ENSMUSG00000018543.8,37,chr11,97771481,97775918,-
Mus musculus,mm10,1700003E16Rik,ENSMUSG00000030030.5,38,chr6,83156404,83162945,+
Mus musculus,mm10,1700003F12Rik,ENSMUSG00000038523.10,39,chr2,154547085,154550003,+
Mus musculus,mm10,1700003H04Rik,ENSMUSG00000039174.14,40,chr3,124556352,124581101,-
Mus musculus,mm10,1700006A11Rik,ENSMUSG00000027973.11,41,chr3,124400989,124426040,-
Mus musculus,mm10,1700007K13Rik,ENSMUSG00000026831.16,42,chr2,28462001,28466332,-
Mus musculus,mm10,1700008O03Rik,ENSMUSG00000008028.15,43,chr7,44360043,44385820,-
Mus musculus,mm10,1700008P02Rik,ENSMUSG00000069118.3,44,chr3,6615418,6620443,-
Mus musculus,mm10,1700009N14Rik,ENSMUSG00000028287.4,45,chr4,39450295,39451776,+
Mus musculus,mm10,1700010B08Rik,ENSMUSG00000057047.5,46,chr2,173719415,173722089,+
Mus musculus,mm10,1700010I14Rik,ENSMUSG00000023873.13,47,chr17,8988333,9011949,+
